System,Elec-SR,VdW-SR,Elec-LR,VdW-LR,sum_E,Expt_Kd
WT-Ca   ,-1950.9,-25.9,732.3,15.6,-1228.9,710000
D9M-Nd,-3807.2,42.4,721.5,37.2,-3006.1,1460
D9H-Nd,-3842.6,43.4,754.4,39.7,-3005.1,2150
D9A-Nd,-3798.1,44.4,723.2,37.2,-2993.3,397
D9N-Nd,-3839.3,44.8,655.2,38.4,-3100.9,53.1
WT-Nd,-3339.8,38.9,730.1,36.7,-2534.1,5.3
